Value,Identifier,Construction,Time Period,Adjustment
125.9,MV3E,Private housing R&M,Oct to Dec 2022,Seasonally Adjusted
133.1,MV3E,Private housing R&M,Jan to Mar 2023,Seasonally Adjusted
74.1,MV3E,Private housing R&M,Jan 2010,Seasonally Adjusted
77,MV3E,Private housing R&M,Feb 2010,Seasonally Adjusted
75.2,MV3E,Private housing R&M,Mar 2010,Seasonally Adjusted
78.4,MV3E,Private housing R&M,Apr 2010,Seasonally Adjusted
81.5,MV3E,Private housing R&M,May 2010,Seasonally Adjusted
81.4,MV3E,Private housing R&M,Jun 2010,Seasonally Adjusted
83.3,MV3E,Private housing R&M,Jul 2010,Seasonally Adjusted
85.6,MV3E,Private housing R&M,Aug 2010,Seasonally Adjusted
88.1,MV3E,Private housing R&M,Sep 2010,Seasonally Adjusted
84.4,MV3E,Private housing R&M,Oct 2010,Seasonally Adjusted
83.9,MV3E,Private housing R&M,Nov 2010,Seasonally Adjusted
83.9,MV3E,Private housing R&M,Dec 2010,Seasonally Adjusted
83.7,MV3E,Private housing R&M,Jan 2011,Seasonally Adjusted
80.5,MV3E,Private housing R&M,Feb 2011,Seasonally Adjusted
81.3,MV3E,Private housing R&M,Mar 2011,Seasonally Adjusted
85,MV3E,Private housing R&M,Apr 2011,Seasonally Adjusted
79.9,MV3E,Private housing R&M,May 2011,Seasonally Adjusted
79.8,MV3E,Private housing R&M,Jun 2011,Seasonally Adjusted
80,MV3E,Private housing R&M,Jul 2011,Seasonally Adjusted
78.4,MV3E,Private housing R&M,Aug 2011,Seasonally Adjusted
80.7,MV3E,Private housing R&M,Sep 2011,Seasonally Adjusted
84.7,MV3E,Private housing R&M,Oct 2011,Seasonally Adjusted
83.2,MV3E,Private housing R&M,Nov 2011,Seasonally Adjusted
82.9,MV3E,Private housing R&M,Dec 2011,Seasonally Adjusted
79.4,MV3E,Private housing R&M,Jan 2012,Seasonally Adjusted
81.1,MV3E,Private housing R&M,Feb 2012,Seasonally Adjusted
80.7,MV3E,Private housing R&M,Mar 2012,Seasonally Adjusted
78.8,MV3E,Private housing R&M,Apr 2012,Seasonally Adjusted
80.2,MV3E,Private housing R&M,May 2012,Seasonally Adjusted
73.1,MV3E,Private housing R&M,Jun 2012,Seasonally Adjusted
80.8,MV3E,Private housing R&M,Jul 2012,Seasonally Adjusted
74.1,MV3E,Private housing R&M,Aug 2012,Seasonally Adjusted
72.3,MV3E,Private housing R&M,Sep 2012,Seasonally Adjusted
73.3,MV3E,Private housing R&M,Oct 2012,Seasonally Adjusted
74.2,MV3E,Private housing R&M,Nov 2012,Seasonally Adjusted
75.7,MV3E,Private housing R&M,Dec 2012,Seasonally Adjusted
75,MV3E,Private housing R&M,Jan 2013,Seasonally Adjusted
76.5,MV3E,Private housing R&M,Feb 2013,Seasonally Adjusted
77,MV3E,Private housing R&M,Mar 2013,Seasonally Adjusted
77.4,MV3E,Private housing R&M,Apr 2013,Seasonally Adjusted
79.2,MV3E,Private housing R&M,May 2013,Seasonally Adjusted
79.9,MV3E,Private housing R&M,Jun 2013,Seasonally Adjusted
79.9,MV3E,Private housing R&M,Jul 2013,Seasonally Adjusted
81.2,MV3E,Private housing R&M,Aug 2013,Seasonally Adjusted
81.7,MV3E,Private housing R&M,Sep 2013,Seasonally Adjusted
81.1,MV3E,Private housing R&M,Oct 2013,Seasonally Adjusted
82,MV3E,Private housing R&M,Nov 2013,Seasonally Adjusted
79.5,MV3E,Private housing R&M,Dec 2013,Seasonally Adjusted
85,MV3E,Private housing R&M,Jan 2014,Seasonally Adjusted
87.4,MV3E,Private housing R&M,Feb 2014,Seasonally Adjusted
86.7,MV3E,Private housing R&M,Mar 2014,Seasonally Adjusted
88.5,MV3E,Private housing R&M,Apr 2014,Seasonally Adjusted
85.7,MV3E,Private housing R&M,May 2014,Seasonally Adjusted
83.9,MV3E,Private housing R&M,Jun 2014,Seasonally Adjusted
85.6,MV3E,Private housing R&M,Jul 2014,Seasonally Adjusted
89.9,MV3E,Private housing R&M,Aug 2014,Seasonally Adjusted
85.7,MV3E,Private housing R&M,Sep 2014,Seasonally Adjusted
85.5,MV3E,Private housing R&M,Oct 2014,Seasonally Adjusted
84.6,MV3E,Private housing R&M,Nov 2014,Seasonally Adjusted
84.4,MV3E,Private housing R&M,Dec 2014,Seasonally Adjusted
84,MV3E,Private housing R&M,Jan 2015,Seasonally Adjusted
82.6,MV3E,Private housing R&M,Feb 2015,Seasonally Adjusted
89.9,MV3E,Private housing R&M,Mar 2015,Seasonally Adjusted
87.9,MV3E,Private housing R&M,Apr 2015,Seasonally Adjusted
89,MV3E,Private housing R&M,May 2015,Seasonally Adjusted
89.5,MV3E,Private housing R&M,Jun 2015,Seasonally Adjusted
89.2,MV3E,Private housing R&M,Jul 2015,Seasonally Adjusted
88.8,MV3E,Private housing R&M,Aug 2015,Seasonally Adjusted
90.5,MV3E,Private housing R&M,Sep 2015,Seasonally Adjusted
91.3,MV3E,Private housing R&M,Oct 2015,Seasonally Adjusted
90.5,MV3E,Private housing R&M,Nov 2015,Seasonally Adjusted
88.8,MV3E,Private housing R&M,Dec 2015,Seasonally Adjusted
91.8,MV3E,Private housing R&M,Jan 2016,Seasonally Adjusted
91.2,MV3E,Private housing R&M,Feb 2016,Seasonally Adjusted
92.2,MV3E,Private housing R&M,Mar 2016,Seasonally Adjusted
93.8,MV3E,Private housing R&M,Apr 2016,Seasonally Adjusted
91.3,MV3E,Private housing R&M,May 2016,Seasonally Adjusted
92.7,MV3E,Private housing R&M,Jun 2016,Seasonally Adjusted
93.3,MV3E,Private housing R&M,Jul 2016,Seasonally Adjusted
92.1,MV3E,Private housing R&M,Aug 2016,Seasonally Adjusted
95.8,MV3E,Private housing R&M,Sep 2016,Seasonally Adjusted
91.4,MV3E,Private housing R&M,Oct 2016,Seasonally Adjusted
96.5,MV3E,Private housing R&M,Nov 2016,Seasonally Adjusted
99.6,MV3E,Private housing R&M,Dec 2016,Seasonally Adjusted
99,MV3E,Private housing R&M,Jan 2017,Seasonally Adjusted
97.6,MV3E,Private housing R&M,Feb 2017,Seasonally Adjusted
97.9,MV3E,Private housing R&M,Mar 2017,Seasonally Adjusted
100.7,MV3E,Private housing R&M,Apr 2017,Seasonally Adjusted
99.9,MV3E,Private housing R&M,May 2017,Seasonally Adjusted
97.9,MV3E,Private housing R&M,Jun 2017,Seasonally Adjusted
99.6,MV3E,Private housing R&M,Jul 2017,Seasonally Adjusted
101.3,MV3E,Private housing R&M,Aug 2017,Seasonally Adjusted
99,MV3E,Private housing R&M,Sep 2017,Seasonally Adjusted
101.1,MV3E,Private housing R&M,Oct 2017,Seasonally Adjusted
103.2,MV3E,Private housing R&M,Nov 2017,Seasonally Adjusted
99.5,MV3E,Private housing R&M,Dec 2017,Seasonally Adjusted
97.5,MV3E,Private housing R&M,Jan 2018,Seasonally Adjusted
98.1,MV3E,Private housing R&M,Feb 2018,Seasonally Adjusted
97.9,MV3E,Private housing R&M,Mar 2018,Seasonally Adjusted
98.8,MV3E,Private housing R&M,Apr 2018,Seasonally Adjusted
103.2,MV3E,Private housing R&M,May 2018,Seasonally Adjusted
101.5,MV3E,Private housing R&M,Jun 2018,Seasonally Adjusted
102,MV3E,Private housing R&M,Jul 2018,Seasonally Adjusted
100.1,MV3E,Private housing R&M,Aug 2018,Seasonally Adjusted
98.4,MV3E,Private housing R&M,Sep 2018,Seasonally Adjusted
98.1,MV3E,Private housing R&M,Oct 2018,Seasonally Adjusted
100.5,MV3E,Private housing R&M,Nov 2018,Seasonally Adjusted
97.1,MV3E,Private housing R&M,Dec 2018,Seasonally Adjusted
100.5,MV3E,Private housing R&M,Jan 2019,Seasonally Adjusted
103,MV3E,Private housing R&M,Feb 2019,Seasonally Adjusted
101.6,MV3E,Private housing R&M,Mar 2019,Seasonally Adjusted
99.6,MV3E,Private housing R&M,Apr 2019,Seasonally Adjusted
100.3,MV3E,Private housing R&M,May 2019,Seasonally Adjusted
99.7,MV3E,Private housing R&M,Jun 2019,Seasonally Adjusted
99.8,MV3E,Private housing R&M,Jul 2019,Seasonally Adjusted
100.3,MV3E,Private housing R&M,Aug 2019,Seasonally Adjusted
99.1,MV3E,Private housing R&M,Sep 2019,Seasonally Adjusted
99.2,MV3E,Private housing R&M,Oct 2019,Seasonally Adjusted
99.8,MV3E,Private housing R&M,Nov 2019,Seasonally Adjusted
97.2,MV3E,Private housing R&M,Dec 2019,Seasonally Adjusted
92.3,MV3E,Private housing R&M,Jan 2020,Seasonally Adjusted
94,MV3E,Private housing R&M,Feb 2020,Seasonally Adjusted
91.9,MV3E,Private housing R&M,Mar 2020,Seasonally Adjusted
47.8,MV3E,Private housing R&M,Apr 2020,Seasonally Adjusted
48.7,MV3E,Private housing R&M,May 2020,Seasonally Adjusted
74.8,MV3E,Private housing R&M,Jun 2020,Seasonally Adjusted
94.2,MV3E,Private housing R&M,Jul 2020,Seasonally Adjusted
100,MV3E,Private housing R&M,Aug 2020,Seasonally Adjusted
104.3,MV3E,Private housing R&M,Sep 2020,Seasonally Adjusted
108.6,MV3E,Private housing R&M,Oct 2020,Seasonally Adjusted
103,MV3E,Private housing R&M,Nov 2020,Seasonally Adjusted
103.5,MV3E,Private housing R&M,Dec 2020,Seasonally Adjusted
98,MV3E,Private housing R&M,Jan 2021,Seasonally Adjusted
107.3,MV3E,Private housing R&M,Feb 2021,Seasonally Adjusted
113.5,MV3E,Private housing R&M,Mar 2021,Seasonally Adjusted
108.8,MV3E,Private housing R&M,Apr 2021,Seasonally Adjusted
108.7,MV3E,Private housing R&M,May 2021,Seasonally Adjusted
108.4,MV3E,Private housing R&M,Jun 2021,Seasonally Adjusted
107.1,MV3E,Private housing R&M,Jul 2021,Seasonally Adjusted
112.7,MV3E,Private housing R&M,Aug 2021,Seasonally Adjusted
116.3,MV3E,Private housing R&M,Sep 2021,Seasonally Adjusted
118.2,MV3E,Private housing R&M,Oct 2021,Seasonally Adjusted
118.5,MV3E,Private housing R&M,Nov 2021,Seasonally Adjusted
120.8,MV3E,Private housing R&M,Dec 2021,Seasonally Adjusted
121.8,MV3E,Private housing R&M,Jan 2022,Seasonally Adjusted
121.6,MV3E,Private housing R&M,Feb 2022,Seasonally Adjusted
130.3,MV3E,Private housing R&M,Mar 2022,Seasonally Adjusted
123.9,MV3E,Private housing R&M,Apr 2022,Seasonally Adjusted
128.4,MV3E,Private housing R&M,May 2022,Seasonally Adjusted
125.5,MV3E,Private housing R&M,Jun 2022,Seasonally Adjusted
127.1,MV3E,Private housing R&M,Jul 2022,Seasonally Adjusted
128.1,MV3E,Private housing R&M,Aug 2022,Seasonally Adjusted
126.7,MV3E,Private housing R&M,Sep 2022,Seasonally Adjusted
128.3,MV3E,Private housing R&M,Oct 2022,Seasonally Adjusted
128,MV3E,Private housing R&M,Nov 2022,Seasonally Adjusted
121.4,MV3E,Private housing R&M,Dec 2022,Seasonally Adjusted
126.5,MV3E,Private housing R&M,Jan 2023,Seasonally Adjusted
135.3,MV3E,Private housing R&M,Feb 2023,Seasonally Adjusted
137.5,MV3E,Private housing R&M,Mar 2023,Seasonally Adjusted
129.7,MV3E,Private housing R&M,Apr 2023,Seasonally Adjusted
100.3,MV3F,Total housing R&M,1998,Seasonally Adjusted
97.9,MV3F,Total housing R&M,1999,Seasonally Adjusted
96.9,MV3F,Total housing R&M,2000,Seasonally Adjusted
97.6,MV3F,Total housing R&M,2001,Seasonally Adjusted
100.9,MV3F,Total housing R&M,2002,Seasonally Adjusted
103.6,MV3F,Total housing R&M,2003,Seasonally Adjusted
105.1,MV3F,Total housing R&M,2004,Seasonally Adjusted
98.8,MV3F,Total housing R&M,2005,Seasonally Adjusted
93.3,MV3F,Total housing R&M,2006,Seasonally Adjusted
90.1,MV3F,Total housing R&M,2007,Seasonally Adjusted
91.6,MV3F,Total housing R&M,2008,Seasonally Adjusted
83.1,MV3F,Total housing R&M,2009,Seasonally Adjusted
90.9,MV3F,Total housing R&M,2010,Seasonally Adjusted
88.5,MV3F,Total housing R&M,2011,Seasonally Adjusted
85.8,MV3F,Total housing R&M,2012,Seasonally Adjusted
86.5,MV3F,Total housing R&M,2013,Seasonally Adjusted
92.5,MV3F,Total housing R&M,2014,Seasonally Adjusted
94.7,MV3F,Total housing R&M,2015,Seasonally Adjusted
96.9,MV3F,Total housing R&M,2016,Seasonally Adjusted
100.8,MV3F,Total housing R&M,2017,Seasonally Adjusted
99.5,MV3F,Total housing R&M,2018,Seasonally Adjusted
100,MV3F,Total housing R&M,2019,Seasonally Adjusted
87.1,MV3F,Total housing R&M,2020,Seasonally Adjusted
105.3,MV3F,Total housing R&M,2021,Seasonally Adjusted
115.5,MV3F,Total housing R&M,2022,Seasonally Adjusted
100.9,MV3F,Total housing R&M,Jan to Mar 1997,Seasonally Adjusted
100.4,MV3F,Total housing R&M,Apr to June 1997,Seasonally Adjusted
101.4,MV3F,Total housing R&M,July to Sept 1997,Seasonally Adjusted
104.4,MV3F,Total housing R&M,Oct to Dec 1997,Seasonally Adjusted
102.7,MV3F,Total housing R&M,Jan to Mar 1998,Seasonally Adjusted
99.8,MV3F,Total housing R&M,Apr to June 1998,Seasonally Adjusted
98.6,MV3F,Total housing R&M,July to Sept 1998,Seasonally Adjusted
100,MV3F,Total housing R&M,Oct to Dec 1998,Seasonally Adjusted
95.7,MV3F,Total housing R&M,Jan to Mar 1999,Seasonally Adjusted
97.9,MV3F,Total housing R&M,Apr to June 1999,Seasonally Adjusted
99.3,MV3F,Total housing R&M,July to Sept 1999,Seasonally Adjusted
98.7,MV3F,Total housing R&M,Oct to Dec 1999,Seasonally Adjusted
100.9,MV3F,Total housing R&M,Jan to Mar 2000,Seasonally Adjusted
97.8,MV3F,Total housing R&M,Apr to June 2000,Seasonally Adjusted
96.4,MV3F,Total housing R&M,July to Sept 2000,Seasonally Adjusted
92.8,MV3F,Total housing R&M,Oct to Dec 2000,Seasonally Adjusted
98.7,MV3F,Total housing R&M,Jan to Mar 2001,Seasonally Adjusted
98.9,MV3F,Total housing R&M,Apr to June 2001,Seasonally Adjusted
95.8,MV3F,Total housing R&M,July to Sept 2001,Seasonally Adjusted
97,MV3F,Total housing R&M,Oct to Dec 2001,Seasonally Adjusted
96.5,MV3F,Total housing R&M,Jan to Mar 2002,Seasonally Adjusted
99.7,MV3F,Total housing R&M,Apr to June 2002,Seasonally Adjusted
101.2,MV3F,Total housing R&M,July to Sept 2002,Seasonally Adjusted
106.1,MV3F,Total housing R&M,Oct to Dec 2002,Seasonally Adjusted
94.9,MV3F,Total housing R&M,Jan to Mar 2003,Seasonally Adjusted
105.5,MV3F,Total housing R&M,Apr to June 2003,Seasonally Adjusted
108,MV3F,Total housing R&M,July to Sept 2003,Seasonally Adjusted
106.1,MV3F,Total housing R&M,Oct to Dec 2003,Seasonally Adjusted
109.8,MV3F,Total housing R&M,Jan to Mar 2004,Seasonally Adjusted
103.4,MV3F,Total housing R&M,Apr to June 2004,Seasonally Adjusted
104.3,MV3F,Total housing R&M,July to Sept 2004,Seasonally Adjusted
102.9,MV3F,Total housing R&M,Oct to Dec 2004,Seasonally Adjusted
102.9,MV3F,Total housing R&M,Jan to Mar 2005,Seasonally Adjusted
100.8,MV3F,Total housing R&M,Apr to June 2005,Seasonally Adjusted
96.4,MV3F,Total housing R&M,July to Sept 2005,Seasonally Adjusted
95,MV3F,Total housing R&M,Oct to Dec 2005,Seasonally Adjusted
95.1,MV3F,Total housing R&M,Jan to Mar 2006,Seasonally Adjusted
93.8,MV3F,Total housing R&M,Apr to June 2006,Seasonally Adjusted
92.8,MV3F,Total housing R&M,July to Sept 2006,Seasonally Adjusted
91.5,MV3F,Total housing R&M,Oct to Dec 2006,Seasonally Adjusted
92.7,MV3F,Total housing R&M,Jan to Mar 2007,Seasonally Adjusted
90.8,MV3F,Total housing R&M,Apr to June 2007,Seasonally Adjusted
86.9,MV3F,Total housing R&M,July to Sept 2007,Seasonally Adjusted
89.8,MV3F,Total housing R&M,Oct to Dec 2007,Seasonally Adjusted
89.7,MV3F,Total housing R&M,Jan to Mar 2008,Seasonally Adjusted
93.4,MV3F,Total housing R&M,Apr to June 2008,Seasonally Adjusted
90.1,MV3F,Total housing R&M,July to Sept 2008,Seasonally Adjusted
93.3,MV3F,Total housing R&M,Oct to Dec 2008,Seasonally Adjusted
82.9,MV3F,Total housing R&M,Jan to Mar 2009,Seasonally Adjusted
82,MV3F,Total housing R&M,Apr to June 2009,Seasonally Adjusted
87.7,MV3F,Total housing R&M,July to Sept 2009,Seasonally Adjusted
79.8,MV3F,Total housing R&M,Oct to Dec 2009,Seasonally Adjusted
86.5,MV3F,Total housing R&M,Jan to Mar 2010,Seasonally Adjusted
91,MV3F,Total housing R&M,Apr to June 2010,Seasonally Adjusted
93.9,MV3F,Total housing R&M,July to Sept 2010,Seasonally Adjusted
92.1,MV3F,Total housing R&M,Oct to Dec 2010,Seasonally Adjusted
89.1,MV3F,Total housing R&M,Jan to Mar 2011,Seasonally Adjusted
88.8,MV3F,Total housing R&M,Apr to June 2011,Seasonally Adjusted
86.4,MV3F,Total housing R&M,July to Sept 2011,Seasonally Adjusted
89.6,MV3F,Total housing R&M,Oct to Dec 2011,Seasonally Adjusted
87.4,MV3F,Total housing R&M,Jan to Mar 2012,Seasonally Adjusted
86,MV3F,Total housing R&M,Apr to June 2012,Seasonally Adjusted
85.6,MV3F,Total housing R&M,July to Sept 2012,Seasonally Adjusted
84.4,MV3F,Total housing R&M,Oct to Dec 2012,Seasonally Adjusted
84.6,MV3F,Total housing R&M,Jan to Mar 2013,Seasonally Adjusted
86,MV3F,Total housing R&M,Apr to June 2013,Seasonally Adjusted
87.3,MV3F,Total housing R&M,July to Sept 2013,Seasonally Adjusted
88,MV3F,Total housing R&M,Oct to Dec 2013,Seasonally Adjusted
92.4,MV3F,Total housing R&M,Jan to Mar 2014,Seasonally Adjusted
92.4,MV3F,Total housing R&M,Apr to June 2014,Seasonally Adjusted
93.6,MV3F,Total housing R&M,July to Sept 2014,Seasonally Adjusted
91.7,MV3F,Total housing R&M,Oct to Dec 2014,Seasonally Adjusted
92.7,MV3F,Total housing R&M,Jan to Mar 2015,Seasonally Adjusted
94.9,MV3F,Total housing R&M,Apr to June 2015,Seasonally Adjusted
95.7,MV3F,Total housing R&M,July to Sept 2015,Seasonally Adjusted
95.4,MV3F,Total housing R&M,Oct to Dec 2015,Seasonally Adjusted
97,MV3F,Total housing R&M,Jan to Mar 2016,Seasonally Adjusted
96.8,MV3F,Total housing R&M,Apr to June 2016,Seasonally Adjusted
95.9,MV3F,Total housing R&M,July to Sept 2016,Seasonally Adjusted
97.9,MV3F,Total housing R&M,Oct to Dec 2016,Seasonally Adjusted
99.5,MV3F,Total housing R&M,Jan to Mar 2017,Seasonally Adjusted
100.9,MV3F,Total housing R&M,Apr to June 2017,Seasonally Adjusted
100.9,MV3F,Total housing R&M,July to Sept 2017,Seasonally Adjusted
101.7,MV3F,Total housing R&M,Oct to Dec 2017,Seasonally Adjusted
98.5,MV3F,Total housing R&M,Jan to Mar 2018,Seasonally Adjusted
101.1,MV3F,Total housing R&M,Apr to June 2018,Seasonally Adjusted
100,MV3F,Total housing R&M,July to Sept 2018,Seasonally Adjusted
98.2,MV3F,Total housing R&M,Oct to Dec 2018,Seasonally Adjusted
100.6,MV3F,Total housing R&M,Jan to Mar 2019,Seasonally Adjusted
99.4,MV3F,Total housing R&M,Apr to June 2019,Seasonally Adjusted
100.2,MV3F,Total housing R&M,July to Sept 2019,Seasonally Adjusted
99.8,MV3F,Total housing R&M,Oct to Dec 2019,Seasonally Adjusted
96,MV3F,Total housing R&M,Jan to Mar 2020,Seasonally Adjusted
56.2,MV3F,Total housing R&M,Apr to June 2020,Seasonally Adjusted
94.7,MV3F,Total housing R&M,July to Sept 2020,Seasonally Adjusted
101.7,MV3F,Total housing R&M,Oct to Dec 2020,Seasonally Adjusted
101.9,MV3F,Total housing R&M,Jan to Mar 2021,Seasonally Adjusted
103.2,MV3F,Total housing R&M,Apr to June 2021,Seasonally Adjusted
105.4,MV3F,Total housing R&M,July to Sept 2021,Seasonally Adjusted
110.6,MV3F,Total housing R&M,Oct to Dec 2021,Seasonally Adjusted
114.3,MV3F,Total housing R&M,Jan to Mar 2022,Seasonally Adjusted
116.2,MV3F,Total housing R&M,Apr to Jun 2022,Seasonally Adjusted
115.9,MV3F,Total housing R&M,Jul to Sep 2022,Seasonally Adjusted
115.7,MV3F,Total housing R&M,Oct to Dec 2022,Seasonally Adjusted
122.5,MV3F,Total housing R&M,Jan to Mar 2023,Seasonally Adjusted
86.9,MV3F,Total housing R&M,Jan 2010,Seasonally Adjusted
88,MV3F,Total housing R&M,Feb 2010,Seasonally Adjusted
84.7,MV3F,Total housing R&M,Mar 2010,Seasonally Adjusted
88.5,MV3F,Total housing R&M,Apr 2010,Seasonally Adjusted
91.6,MV3F,Total housing R&M,May 2010,Seasonally Adjusted
92.9,MV3F,Total housing R&M,Jun 2010,Seasonally Adjusted
92.6,MV3F,Total housing R&M,Jul 2010,Seasonally Adjusted
93.7,MV3F,Total housing R&M,Aug 2010,Seasonally Adjusted
95.5,MV3F,Total housing R&M,Sep 2010,Seasonally Adjusted
92.6,MV3F,Total housing R&M,Oct 2010,Seasonally Adjusted
91.7,MV3F,Total housing R&M,Nov 2010,Seasonally Adjusted
91.9,MV3F,Total housing R&M,Dec 2010,Seasonally Adjusted
88.3,MV3F,Total housing R&M,Jan 2011,Seasonally Adjusted
89,MV3F,Total housing R&M,Feb 2011,Seasonally Adjusted
90,MV3F,Total housing R&M,Mar 2011,Seasonally Adjusted
91.7,MV3F,Total housing R&M,Apr 2011,Seasonally Adjusted
86.9,MV3F,Total housing R&M,May 2011,Seasonally Adjusted
87.7,MV3F,Total housing R&M,Jun 2011,Seasonally Adjusted
86.9,MV3F,Total housing R&M,Jul 2011,Seasonally Adjusted
85.7,MV3F,Total housing R&M,Aug 2011,Seasonally Adjusted
86.8,MV3F,Total housing R&M,Sep 2011,Seasonally Adjusted
90.1,MV3F,Total housing R&M,Oct 2011,Seasonally Adjusted
89.2,MV3F,Total housing R&M,Nov 2011,Seasonally Adjusted
89.5,MV3F,Total housing R&M,Dec 2011,Seasonally Adjusted
86.5,MV3F,Total housing R&M,Jan 2012,Seasonally Adjusted
88.1,MV3F,Total housing R&M,Feb 2012,Seasonally Adjusted
87.5,MV3F,Total housing R&M,Mar 2012,Seasonally Adjusted
86.1,MV3F,Total housing R&M,Apr 2012,Seasonally Adjusted
89.1,MV3F,Total housing R&M,May 2012,Seasonally Adjusted
82.7,MV3F,Total housing R&M,Jun 2012,Seasonally Adjusted
89.5,MV3F,Total housing R&M,Jul 2012,Seasonally Adjusted
84,MV3F,Total housing R&M,Aug 2012,Seasonally Adjusted
83.3,MV3F,Total housing R&M,Sep 2012,Seasonally Adjusted
83.7,MV3F,Total housing R&M,Oct 2012,Seasonally Adjusted
84.6,MV3F,Total housing R&M,Nov 2012,Seasonally Adjusted
84.9,MV3F,Total housing R&M,Dec 2012,Seasonally Adjusted
83.5,MV3F,Total housing R&M,Jan 2013,Seasonally Adjusted
85.3,MV3F,Total housing R&M,Feb 2013,Seasonally Adjusted
85.1,MV3F,Total housing R&M,Mar 2013,Seasonally Adjusted
85.9,MV3F,Total housing R&M,Apr 2013,Seasonally Adjusted
86.1,MV3F,Total housing R&M,May 2013,Seasonally Adjusted
86,MV3F,Total housing R&M,Jun 2013,Seasonally Adjusted
